Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Pomocniczy robotnik drogowy"; "05-622 Odrzywołek 8a, powiat: grójecki, woj: mazowieckie"; "Umowa o pracę na czas określony"; "POWIATOWY ZARZĄD DRÓG W GRÓJCU."; 04.01.2022; 
"Pomocniczy robotnik drogowy"; "05-622 Odrzywołek 8a, powiat: grójecki, woj: mazowieckie"; "Umowa o pracę na czas określony"; "POWIATOWY ZARZĄD DRÓG W GRÓJCU."; 04.01.2022; 
"Betoniarz-zbrojarz"; "Ujście, powiat: pilski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 05.01.2022; 
"Spawacz (nr 0039)"; "Bydgoska 2D, 89-200 Zamość, powiat: nakielski, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Warsztat Mechaniczny Maszyn Rolniczych i Ślusarstwa Zdzisław Aftyka"; 05.01.2022; 
"stróż (nr 0038)"; "85-001 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "SOLID SECURITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Magazynier"; "Wieluńska 2, 97-438 Rusiec, powiat: bełchatowski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "PAMAPOL SPÓŁKA AKCYJNA"; 05.01.2022; 
"Kierowca - konserwator"; "Górników 8, 59-700 Bolesławiec, powiat: bolesławiecki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Powiatowa Stacja Sanitarno Epidemiologiczna w Bolesławcu"; 05.01.2022; 
"Pracownik ochrony"; "Kaszubska 3, 14-300 Morąg, powiat: ostródzki, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AROKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Lakiernik samochodowy"; "Wodna 13, 47-400 Racibórz, powiat: raciborski, woj: śląskie"; "Umowa o pracę na okres próbny"; "Lakiernictwo Pojazdowe Krystian Zimny"; 05.01.2022; 
"POMOC KUCHENNA"; "Wisła, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 04.01.2022; 
"Recepcjonista"; "Wczasowa 49, 43-450 Ustroń, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na okres próbny"; "C.W.S. ""GWAREK"" Adrian PODOLSKI"; 05.01.2022; 
"Operator procesu"; "Czekoladowa 1A, 55-040 Bielany Wrocławskie, powiat: wrocławski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "MONDELEZ POLSKA PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 04.01.2022; 
